SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (₹ Crores),52 WEEK HIGH,52 WEEK LOW,30 D %CHNG,365 D %CHNG
"RECLTD","318.00","320.70","312.20","316.45","313.60","-","-2.85","-0.9","4295735","135.75","390.50","304.05","-14.81","-14.74"
"ANGELONE","280.35","288.00","280.35","279.25","286.00","-","6.75","2.42","4732927","134.77","360.45","208.63","-5.3","25.87"
"YESBANK","22.15","22.54","22.11","22.15","22.54","-","0.39","1.76","57376675","128.58","25.78","17.20","-2","10.76"
"BAJAJHLDNG","11,070.00","11,260.00","11,028.00","11,100.00","11,165.00","-","65","0.59","114534","127.68","13,880.00","8,588.00","-3.74","-14.27"
"CDSL","1,370.00","1,397.30","1,367.00","1,365.20","1,394.00","-","28.8","2.11","921968","127.63","1,673.70","1,116.30","5.43","-8.2"
"ZEEL","91.08","92.82","90.60","90.57","91.56","-","0.99","1.09","13920936","127.40","121.80","68.00","-6.7","-21.26"
"NAVINFLUOR","8,552.50","8,718.00","8,500.00","8,542.50","8,700.00","-","157.5","1.84","142402","122.69","8,775.50","4,498.50","15.16","79.64"
"ONGC","237.50","237.80","235.00","237.50","236.00","-","-1.5","-0.63","5175513","122.13","307.50","227.65","-2.48","-1.28"
"FORCEMOT","17,650.00","17,932.00","17,455.00","17,600.00","17,500.00","-","-100","-0.57","67963","120.29","26,450.00","14,911.00","-5.37","-11.55"
"SONACOMS","785.50","804.90","785.05","782.65","800.00","-","17.35","2.22","1508741","120.20","844.00","402.30","1.91","77.78"
"BANKINDIA","143.90","146.15","142.50","143.10","145.00","-","1.9","1.33","8139407","118.11","178.36","111.33","3.2","27.67"
"HEG","709.90","725.45","699.90","706.40","708.00","-","1.6","0.23","1656554","117.93","753.90","470.80","6.43","44.42"
"GLENMARK","2,470.00","2,471.80","2,425.10","2,460.00","2,459.00","-","-1","-0.04","481343","117.34","2,537.60","1,792.60","10.27","22.68"
"DELHIVERY","455.00","464.95","449.50","454.80","464.35","-","9.55","2.1","2530860","116.45","524.00","374.45","-1.2","-2.86"
"BANKBARODA","241.57","244.16","240.16","241.20","240.44","-","-0.76","-0.32","4789865","115.86","325.50","231.72","-2.75","0.85"
"BRITANNIA","5,131.50","5,146.00","5,079.00","5,154.00","5,130.00","-","-24","-0.47","225559","115.56","6,336.00","5,035.00","-7.25","-13.17"
"WIPRO","177.50","178.04","175.72","177.09","175.72","-","-1.37","-0.77","6496396","114.92","273.10","169.00","-6.86","-29.59"
"ABB","7,438.00","7,475.00","7,405.00","7,447.50","7,432.00","-","-15.5","-0.21","153649","114.20","7,924.50","4,637.50","-2.22","43.24"
"WAAREEENER","2,585.00","2,601.30","2,563.00","2,581.10","2,579.90","-","-1.2","-0.05","439202","113.04","3,865.00","2,403.00","-3.59","-19.98"
"MANAPPURAM","343.05","346.45","338.45","340.90","341.00","-","0.1","0.03","3304569","112.53","381.55","245.15","-6.58","18.4"
"DEEPAKFERT","1,385.00","1,411.00","1,351.10","1,416.70","1,360.00","-","-56.7","-4","816334","112.20","1,681.00","866.40","-13.71","-5.72"
"NMDC","85.76","86.87","84.19","85.75","84.19","-","-1.56","-1.82","13174732","112.10","97.49","69.79","0.47","13.33"
"SBILIFE","1,724.90","1,741.90","1,708.90","1,719.90","1,715.00","-","-4.9","-0.28","648581","111.68","2,132.00","1,700.40","-10.44","-5.29"
"GAIL","173.19","174.67","172.01","173.00","174.67","-","1.67","0.97","6327095","109.81","186.87","134.36","0.21","-1.88"
"ZYDUSLIFE","1,154.20","1,157.80","1,130.50","1,154.20","1,143.00","-","-11.2","-0.97","962099","109.55","1,205.00","835.50","1.96","13.37"
